,Date,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
19,2022-01-01,20,1021.1,1024.8,17.0,14.8,87,1.4,90,4.8,100,0.0,0.0,...,0.0,...,0,...
20,2022-01-01,21,1021.0,1024.7,16.8,15.0,89,2.0,100,5.4,100,0.0,0.0,...,0.0,...,0,...
21,2022-01-01,22,1020.9,1024.6,16.8,15.0,89,1.7,100,5.6,80,0.0,0.0,...,0.0,...,0,...
22,2022-01-01,23,1021.0,1024.7,16.8,15.0,89,1.6,90,5.9,80,0.0,0.0,...,0.0,...,0,...
23,2022-01-01,24,1020.6,1024.3,16.1,14.6,91,1.1,140,2.3,140,0.0,0.0,...,0.0,...,0,...
0,2022-01-02,1,1020.1,1023.8,15.4,14.3,93,0.9,160,2.4,130,0.0,0.0,...,0.0,...,0,...
1,2022-01-02,2,1019.9,1023.6,14.8,13.8,94,0.5,150,2.2,150,0.0,0.0,...,0.0,...,0,...
2,2022-01-02,3,1019.7,1023.4,15.2,13.9,92,1.0,210,1.9,220,0.0,0.0,...,0.0,...,0,...
3,2022-01-02,4,1019.8,1023.5,15.5,13.5,88,1.9,170,3.1,160,0.0,0.0,...,0.0,...,0,...
4,2022-01-02,5,1020.1,1023.8,15.6,13.5,87,1.2,160,3.0,160,0.0,0.0,...,0.0,...,0,...
5,2022-01-02,6,1020.6,1024.3,15.8,13.6,87,1.0,180,2.6,170,0.0,0.0,0.0,0.0,...,0,...
6,2022-01-02,7,1021.2,1024.9,15.9,13.7,87,0.7,190,1.8,150,0.0,0.0,0.0,0.02,...,0,...
7,2022-01-02,8,1021.8,1025.5,16.4,13.9,85,0.7,210,1.3,170,0.0,0.0,0.0,0.2,25.0,0,10.0
8,2022-01-02,9,1022.4,1026.1,17.3,14.8,85,1.0,140,1.8,150,0.0,0.0,0.0,0.5,18.0,1,10.0
9,2022-01-02,10,1022.2,1025.9,17.1,14.9,87,1.9,100,5.5,80,T,0.6,0.0,0.44,...,1,...
10,2022-01-02,11,1021.4,1025.0,18.4,13.9,75,2.6,100,8.8,100,0.0,0.0,0.1,1.03,30.0,3,9.0
11,2022-01-02,12,1020.5,1024.1,18.6,13.0,70,3.1,80,8.7,110,0.0,0.0,0.0,1.01,...,3,...
12,2022-01-02,13,1019.7,1023.3,18.3,13.2,72,3.0,80,8.5,50,0.0,0.0,0.0,0.91,...,2,...
13,2022-01-02,14,1019.2,1022.8,18.8,13.2,70,2.9,80,8.5,100,0.0,0.0,0.1,1.18,25.0,3,9.0
14,2022-01-02,15,1018.9,1022.5,18.2,12.9,71,3.2,90,8.4,70,0.0,0.0,0.0,0.84,...,2,...
15,2022-01-02,16,1019.2,1022.8,17.8,12.9,73,2.8,90,8.8,80,0.0,0.0,0.0,0.42,...,1,...
16,2022-01-02,17,1019.7,1023.3,17.6,13.1,75,3.0,90,8.8,100,0.0,0.0,0.0,0.14,25.0,0,9.0
17,2022-01-02,18,1020.1,1023.7,17.4,13.5,78,2.8,90,7.9,90,0.0,0.0,0.0,0.01,...,0,...
18,2022-01-02,19,1020.5,1024.1,17.3,13.8,80,2.8,80,6.5,80,0.0,0.0,0.0,0.0,...,0,...
19,2022-01-02,20,1020.6,1024.2,17.3,14.0,81,2.4,90,6.5,70,0.0,0.0,...,0.0,...,0,...
20,2022-01-02,21,1020.5,1024.1,17.0,14.3,84,1.7,100,6.2,100,T,0.1,...,0.0,...,0,...
21,2022-01-02,22,1020.4,1024.0,17.1,14.0,82,2.5,110,7.1,110,0.0,0.0,...,0.0,...,0,...
22,2022-01-02,23,1020.1,1023.7,17.0,14.1,83,2.0,100,7.1,120,0.0,0.0,...,0.0,...,0,...
23,2022-01-02,24,1019.9,1023.5,16.9,14.2,84,2.0,90,6.4,100,0.0,0.0,...,0.0,...,0,...
