,站號,站名,海拔高度(m),城市,經度,緯度,地址
75,C0AI10,屈尺,76.0,新北市,121.54475,24.92184,新店區屈尺路83號(衛福部北區老人之家)
76,C0AI20,白沙灣,25.0,新北市,121.519058,25.283128,石門區德茂里下員坑33-6號（白沙灣遊客中心樓頂）
77,C0AI30,三重,26.0,新北市,121.500629,25.057328,三重區環河南路100號
78,C0AI40,石牌,35.0,臺北市,121.513167,25.115601,北投區石牌路一段139號(石牌國中自強樓頂樓)
79,C0AJ10,澳底,20.0,新北市,121.927272,25.057107,貢寮區新港街128號(澳底第16海巡隊樓頂)
80,C0AJ20,野柳,50.0,新北市,121.690021,25.20703,萬里區野柳村151-1號(野柳守望哨雷達塔)
81,C0AJ30,淡水觀海,22.0,新北市,121.408616,25.184591,淡水區觀海路251號(淡水第2海巡隊樓頂)
82,C0AJ40,石門,154.0,新北市,121.601198,25.273672,?石門區草里里草埔尾5號(黃金海岸高爾夫球場)
83,C0AJ50,水湳洞,30.0,新北市,121.862238,25.123695,瑞芳區水湳洞段00197-000建號(水湳洞犬區隊)
84,C0B010,七堵,38.0,基隆市,121.71713,25.094819,七堵區東新街22號(基隆商工樓頂)
85,C0B020,基隆嶼,86.0,基隆市,121.78391,25.19141,中正區基隆嶼
86,C0B040,大武崙,15.0,基隆市,121.706993,25.166676,安樂區武聖街144弄50號(大武崙安檢所樓頂)
87,C0B050,八斗子,5.0,基隆市,121.79167,25.144754,中正區漁港1街9號(八斗子安檢所樓頂)
88,C0C460,復興,482.0,桃園市,121.352281,24.820208,復興區澤仁里中正路248號(介壽國民中學校園內)
89,C0C480,桃園,105.0,桃園市,121.323172,24.992425,桃園區成功路二段144號(桃園高級農工職業學校校園內)
90,C0C490,八德,157.0,桃園市,121.283289,24.928708,八德區興仁里中山路94號(八德國民小學校園內)
91,C0C540,大園,46.0,桃園市,121.225958,25.04775,大園區埔心里25鄰中正東路1段189巷35號(埔心國民小學)
92,C0C590,觀音,72.0,桃園市,121.153317,25.027072,觀音區廣福里10-42號(逸福農場)
93,C0C620,蘆竹,19.0,桃園市,121.265767,25.084275,蘆竹區坑口里14鄰旁
94,C0C630,大溪,209.0,桃園市,121.265547,24.882853,大溪區員林路2段450號(員樹林國小校園內)
95,C0C650,平鎮,208.0,桃園市,121.214636,24.897503,平鎮區中豐路山頂段375巷45號(山豐國民小學校園內)
96,C0C660,楊梅,176.0,桃園市,121.143047,24.912375,楊梅區金華街100號(楊心國小)
97,C0C670,龍潭,250.0,桃園市,121.221389,24.870056,龍潭區中興路726號（龍潭消防分隊）
98,C0C680,龜山,228.0,桃園市,121.38656,25.02846,龜山區文化一路250號(國立體育大學田徑場)
99,C0C700,中壢,151.0,桃園市,121.256375,24.977661,中壢區成章四街120號(內壢高中樓頂)
100,C0C710,大溪永福,143.0,桃園市,121.324975,24.892936,大溪區信義路1165號（永福國小）
